id,l10n_bg_ecattu,l10n_bg_type_settlement_id/id,name,l10n_bg_code,l10n_bg_structure_type,country_id/id,zipcode,l10n_bg_has_tax_office
l10n_bg.10080,10080,l10n_bg_city.village,Варана,PVN16-00,normal,base.bg,,False
l10n_bg.10152,10152,l10n_bg_city.village,Варник,HKV28-00,normal,base.bg,,False
l10n_bg.10166,10166,l10n_bg_city.village,Варовник,BGS06-00,normal,base.bg,,False
l10n_bg.10210,10210,l10n_bg_city.village,Васил Левски,SLS01-00,normal,base.bg,,False
l10n_bg.10269,10269,l10n_bg_city.village,Василовци,SFO16-00,normal,base.bg,,False
l10n_bg.10286,10286,l10n_bg_city.village,Васково,HKV17-00,normal,base.bg,,False
l10n_bg.10313,10313,l10n_bg_city.village,Ведрово,BGS23-00,normal,base.bg,,False
l10n_bg.10330,10330,l10n_bg_city.village,Векилски,SHU21-00,normal,base.bg,,False
l10n_bg.10344,10344,l10n_bg_city.village,Веленци,GAB35-00,normal,base.bg,,False
l10n_bg.10361,10361,l10n_bg_city.village,Велика,BGS13-00,normal,base.bg,,False
l10n_bg.10375,10375,l10n_bg_city.village,Великан,HKV09-00,normal,base.bg,,False
l10n_bg.10416,10416,l10n_bg_city.village,Великово,SZR07-00,normal,base.bg,,False
l10n_bg.10422,10422,l10n_bg_city.village,Великово,DOB12-00,normal,base.bg,,False
l10n_bg.10433,10433,l10n_bg_city.village,Великовци,TGV02-00,normal,base.bg,,False
l10n_bg.10478,10478,l10n_bg_city.village,Велиново,PER51-00,normal,base.bg,,False
l10n_bg.10519,10519,l10n_bg_city.village,Велково,GAB35-00,normal,base.bg,,False
l10n_bg.10522,10522,l10n_bg_city.village,Велковци,VTR13-00,normal,base.bg,,False
l10n_bg.10536,10536,l10n_bg_city.village,Велковци,GAB05-00,normal,base.bg,,False
l10n_bg.10553,10553,l10n_bg_city.village,Велчево,VTR04-00,normal,base.bg,,False
l10n_bg.10570,10570,l10n_bg_city.village,Велчовци,GAB35-00,normal,base.bg,,False
l10n_bg.10584,10584,l10n_bg_city.village,Вельово,TGV02-00,normal,base.bg,,False
l10n_bg.10598,10598,l10n_bg_city.village,Велювци,VTR13-00,normal,base.bg,,False
l10n_bg.10608,10608,l10n_bg_city.village,Велющец,BLG49-00,normal,base.bg,,False
l10n_bg.10639,10639,l10n_bg_city.village,Венец,SZR23-00,normal,base.bg,,False
l10n_bg.10656,10656,l10n_bg_city.village,Венковец,SFO20-00,normal,base.bg,,False
l10n_bg.10745,10745,l10n_bg_city.village,Веселина,VTR13-00,normal,base.bg,,False
l10n_bg.10817,10817,l10n_bg_city.village,Ветрен,KNL31-00,normal,base.bg,,False
l10n_bg.10879,10879,l10n_bg_city.village,Ветринци,VTR04-00,normal,base.bg,,False
l10n_bg.10896,10896,l10n_bg_city.village,Ветрово,GAB05-00,normal,base.bg,,False
l10n_bg.10906,10906,l10n_bg_city.village,Ветрушка,HKV11-04,normal,base.bg,,False
l10n_bg.10937,10937,l10n_bg_city.village,Вещица,VID01-00,normal,base.bg,,False
l10n_bg.10954,10954,l10n_bg_city.village,Виден,SZR24-00,normal,base.bg,,False
l10n_bg.10985,10985,l10n_bg_city.village,Видинци,JAM25-00,normal,base.bg,,False
l10n_bg.10999,10999,l10n_bg_city.village,Видлица,MON14-00,normal,base.bg,,False
l10n_bg.11017,11017,l10n_bg_city.village,Видрар,PER51-00,normal,base.bg,,False
l10n_bg.11034,11034,l10n_bg_city.village,Видрица,PER08-00,normal,base.bg,,False
l10n_bg.11051,11051,l10n_bg_city.village,Визица,BGS12-00,normal,base.bg,,False
l10n_bg.11065,11065,l10n_bg_city.village,Виларе,VTR04-00,normal,base.bg,,False
l10n_bg.11168,11168,l10n_bg_city.village,Виногради,BLG40-00,normal,base.bg,,False
l10n_bg.11199,11199,l10n_bg_city.village,Вис,HKV11-04,normal,base.bg,,False
l10n_bg.11209,11209,l10n_bg_city.village,Вискяр,PER32-00,normal,base.bg,,False
l10n_bg.11226,11226,l10n_bg_city.village,Висока,KRZ16-22,normal,base.bg,,False
l10n_bg.11232,11232,l10n_bg_city.village,Висока могила,KNL05-00,normal,base.bg,,False
l10n_bg.11260,11260,l10n_bg_city.village,Високите,SML16-00,normal,base.bg,,False
l10n_bg.11274,11274,l10n_bg_city.village,Високовци,VTR13-00,normal,base.bg,,False
l10n_bg.11315,11315,l10n_bg_city.village,Вихрен,BLG40-00,normal,base.bg,,False
l10n_bg.11329,11329,l10n_bg_city.village,Вичово,DOB12-00,normal,base.bg,,False
l10n_bg.11332,11332,l10n_bg_city.village,Вишан,SFO16-00,normal,base.bg,,False
l10n_bg.11358,11358,l10n_bg_city.village,Вишлене,BLG33-00,normal,base.bg,,False
l10n_bg.11435,11435,l10n_bg_city.village,Владимирово,HKV32-08,normal,base.bg,,False
l10n_bg.11483,11483,l10n_bg_city.village,Владиславци,SFO16-00,normal,base.bg,,False
l10n_bg.11497,11497,l10n_bg_city.village,Владиченци,VID16-00,normal,base.bg,,False
l10n_bg.11507,11507,l10n_bg_city.village,Владовци,GAB35-00,normal,base.bg,,False
l10n_bg.11524,11524,l10n_bg_city.village,Влайчовци,GAB05-00,normal,base.bg,,False
l10n_bg.11541,11541,l10n_bg_city.village,Власатили,GAB35-00,normal,base.bg,,False
l10n_bg.11569,11569,l10n_bg_city.village,Влахи,BLG28-00,normal,base.bg,,False
l10n_bg.11586,11586,l10n_bg_city.village,Влаховци,GAB05-00,normal,base.bg,,False
l10n_bg.11604,11604,l10n_bg_city.village,Водата,SML31-00,normal,base.bg,,False
l10n_bg.11675,11675,l10n_bg_city.village,Воденичарово,SZR31-00,normal,base.bg,,False
l10n_bg.11720,11720,l10n_bg_city.village,Водна,VID15-00,normal,base.bg,,False
l10n_bg.11733,11733,l10n_bg_city.village,Водни пад,SML09-13,normal,base.bg,,False
l10n_bg.11750,11750,l10n_bg_city.village,Водно,VTR31-00,normal,base.bg,,False
l10n_bg.11898,11898,l10n_bg_city.village,Войнежа,VTR04-00,normal,base.bg,,False
l10n_bg.11911,11911,l10n_bg_city.village,Войниково,DOB27-20,normal,base.bg,,False
l10n_bg.11925,11925,l10n_bg_city.village,Войница,VID09-00,normal,base.bg,,False
l10n_bg.11939,11939,l10n_bg_city.village,Войници,MON29-00,normal,base.bg,,False
l10n_bg.11956,11956,l10n_bg_city.village,Войниците,GAB35-00,normal,base.bg,,False
l10n_bg.11960,11960,l10n_bg_city.village,Войнишка,GAB29-00,normal,base.bg,,False
